Date,Type,Link
2020-07-24 10:51:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6691034105477382144
2020-07-24 10:26:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6690758471215923200
2020-07-24 10:16:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692321586231427072
2020-07-24 00:25:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6691288509371707392?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6691288509371707392%2C6692206407430868993%29
2020-07-23 17:08:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692073049346469888
2020-07-23 12:22:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6691137789049741312?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6691137789049741312%2C6692040717436542976%29
2020-07-21 16:14:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6691356913772306432
2020-07-16 16:38:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6689546423068893186
2020-07-16 15:01:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6689074081712635904
2020-07-16 09:29:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6687657727038242816
2020-07-14 22:55:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6685081643494981632
2020-07-12 13:12:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6687978610919256064
2020-07-10 17:11:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6686740993976356864
2020-07-10 13:09:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6687314551265869824
2020-07-10 13:00:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6685958988078559232
2020-07-10 12:59:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6686991002873434112
2020-07-09 15:20:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6685088169349705728
2020-07-07 23:50:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6685722522945634304
2020-07-04 22:15:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6684502749100486656
2020-07-02 13:11:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6684054931411939328
2020-07-02 12:19:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6679264717418065920
2020-06-30 17:01:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6683745506746761216
2020-06-30 02:43:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6682423096433012736
2020-06-30 02:41:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6682266278180257792
2020-06-30 02:37:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6683365185048059904
2020-06-26 15:26:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6681596223729872896
2020-06-24 18:09:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6681602346465693696
2020-06-23 21:53:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6681278055161327616
